tt0058976,10,nm0551258,editor,""
tt0058977,1,nm0001369,actor,""
tt0058977,2,nm0001012,actress,""
tt0058977,3,nm0912001,actor,""
tt0058977,4,nm0830967,actor,""
tt0058977,5,nm0242897,director,""
tt0058977,6,nm0579578,writer,screenplay
tt0058977,7,nm0282061,writer,novel Blindfold
tt0058977,8,nm0777360,producer,producer
tt0058977,9,nm0006277,composer,""
tt0058977,10,nm0531796,cinematographer,director of photography
tt0058981,1,nm0000348,actor,""
tt0058981,2,nm0001471,actor,""
tt0058981,3,nm0767414,actress,""
tt0058981,4,nm0773311,actress,""
tt0058981,5,nm0723664,director,""
tt0058981,6,nm0030019,writer,screenplay
tt0058981,7,nm0131942,writer,play
tt0058981,8,nm0909259,producer,producer
tt0058981,9,nm0006126,composer,""
tt0058981,10,nm0005644,cinematographer,director of photography
tt0058983,1,nm0362927,actor,""
tt0058983,2,nm0081714,actor,""
tt0058983,3,nm0053115,actress,""
tt0058983,4,nm0958395,actor,""
tt0058983,5,nm0700659,director,""
tt0058983,6,nm0585971,writer,"story, screenplay and adaptation"
tt0058983,7,nm0622099,writer,"story, screenplay and adaptation"
tt0058983,8,nm0580988,producer,producer
tt0058983,9,nm0670437,composer,""
tt0058983,10,nm0005908,cinematographer,""
tt0058985,1,nm0238379,actor,""
tt0058985,2,nm0102073,actress,""
tt0058985,3,nm0078106,actress,""
tt0058985,4,nm0484298,actress,""
tt0058985,5,nm0889513,director,""
tt0058985,6,nm0090776,producer,producer
tt0058985,7,nm0214456,composer,""
tt0058985,8,nm0064695,cinematographer,""
tt0058985,9,nm0704880,cinematographer,""
tt0058985,10,nm0894528,editor,""
tt0058986,1,nm0000086,actor,""
tt0058986,2,nm0088396,actor,""
tt0058986,3,nm0014800,actress,""
tt0058986,4,nm0661759,actress,""
tt0058986,5,nm0335093,director,""
tt0058986,6,nm0491626,director,""
tt0058986,7,nm0002192,writer,dialogue
tt0058986,8,nm0800631,writer,scenarios La fermeture and Le procès
tt0058986,9,nm0437941,writer,scenario Les bons vivants
tt0058986,10,nm0714379,writer,short story
tt0058988,1,nm0002053,actor,""
tt0058988,2,nm0131713,actor,""
tt0058988,3,nm0198241,actress,""
tt0058988,4,nm0035159,actor,""
tt0058988,5,nm0071560,director,""
tt0058988,6,nm0018722,writer,""
tt0058988,7,nm0330388,writer,""
tt0058988,8,nm0329966,producer,producer
tt0058988,9,nm0006300,composer,""
tt0058988,10,nm0922071,cinematographer,""
tt0058990,1,nm0001374,actor,""
tt0058990,2,nm0000763,actor,""
tt0058990,3,nm0004282,actress,""
tt0058990,4,nm0511798,actress,""
tt0058990,5,nm0002016,director,""
tt0058990,6,nm0748111,writer,screenplay
tt0058990,7,nm0546140,writer,story
tt0058990,8,nm0006052,composer,""
tt0058990,9,nm0495402,cinematographer,""
tt0058990,10,nm0956155,editor,""
tt0058991,1,nm0507708,actor,""
tt0058991,2,nm0001657,actor,""
tt0058991,3,nm0483653,actor,""
tt0058991,4,nm0738635,actress,""
tt0058991,5,nm0319241,director,""
tt0058991,6,nm0450862,producer,producer
tt0058991,7,nm0052140,composer,""
tt0058991,8,nm0005932,cinematographer,director of photography
tt0058991,9,nm0801238,editor,""
tt0058991,10,nm0732400,production_designer,""
tt0058994,1,nm0398969,actor,""
tt0058994,2,nm0151155,actor,""
tt0058994,3,nm0583963,actress,""
tt0058994,4,nm0516316,actor,""
tt0058994,5,nm0156966,director,""
tt0058994,6,nm0906404,actor,""
tt0058994,7,nm0155551,actor,""
tt0058994,8,nm2713907,actress,""
tt0058994,9,nm0496968,actor,""
tt0058994,10,nm0465062,actor,""
tt0058997,1,nm0001158,actor,""
tt0058997,2,nm0528595,actress,""
tt0058997,3,nm0000059,actor,""
tt0058997,4,nm0402558,actress,""
tt0058997,5,nm0695937,director,""
tt0058997,6,nm0607876,writer,screenplay
tt0058997,7,nm0607890,writer,screenplay
tt0058997,8,nm0595217,writer,novel
tt0058997,9,nm0505615,writer,screenplay
tt0058997,10,nm11029354,composer,""
tt0058998,1,nm0000268,actress,""
tt0058998,2,nm0662981,actor,""
tt0058998,3,nm0546755,actress,""
tt0058998,4,nm0223290,actor,""
tt0058998,5,nm0366314,director,""
tt0058998,6,nm0408718,writer,""
tt0058998,7,nm0440990,producer,producer
tt0058998,8,nm0548738,composer,""
tt0058998,9,nm0005797,cinematographer,""
tt0058998,10,nm0087467,editor,""
tt0059001,1,nm0752182,actress,""
tt0059001,2,nm0126607,actor,""
tt0059001,3,nm0677860,actress,""
tt0059001,4,nm0579843,actor,""
tt0059001,5,nm0445454,director,""
tt0059001,6,nm0350563,writer,""
tt0059001,7,nm0006091,composer,""
tt0059001,8,nm0373816,cinematographer,""
tt0059001,9,nm0603704,editor,""
tt0059001,10,nm0239162,production_designer,""
tt0059012,1,nm0000080,actor,""
tt0059012,2,nm0603402,actress,""
tt0059012,3,nm0751983,actress,""
tt0059012,4,nm0000024,actor,""
tt0059012,5,nm0000636,writer,"plays Henry IV, Part I, Henry IV, Part II and Henry V"
tt0059012,6,nm0390547,writer,"book Chronicles of England, Scotlande, and Irelande"
tt0059012,7,nm0260399,producer,producer
tt0059012,8,nm0682129,producer,producer
tt0059012,9,nm0759162,producer,producer
tt0059012,10,nm0006164,composer,""
tt0059014,1,nm0416228,actor,""
tt0059014,2,nm0931054,actor,""
tt0059014,3,nm0197715,actor,""
tt0059014,4,nm0001889,actor,""
tt0059014,5,nm0858873,director,""
tt0059014,6,nm0745349,writer,screenplay
tt0059014,7,nm0737127,producer,producer
